"Arriaga" "Assis_1" "Assis_2" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis"
"a" 4.4324648098233 4.48622793996371 4.16235673797013 2.79482683033757 2.85658574631959 4.21015264465744 5.22743947175348 4.49682525876316 3.98370753030002 3.50422284782931 3.39480533864983 3.31143232588699 3.78809294962402 4.55613675991206 3.85731559854897 3.59935833166232 3.86683209263854 3.84961503849615 4.04919016196761 3.98171846435101
"que" 3.54896675651393 2.59497498488097 3.14038644544665 2.0604997807979 1.86214292678171 3.92616258430955 3.36573734409391 2.44411585631034 1.88754222133916 3.48199733293821 2.43672813867198 3.61366622864652 3.12659015095833 3.13092259874157 4.95940576956296 4.97292961700421 4.93834122866381 5.26947305269473 5.12897420515897 4.54844606946984
"e" 3.78855944893681 3.33168398482599 4.12098142248335 3.20035072336694 3.12957004972214 3.50017749378772 3.08143800440205 3.57484561189876 4.75859328432347 4.08579048747963 4.7405438334164 2.98948751642576 3.04743596992141 4.90485937381548 3.46173777854552 3.34870663725687 3.4344687570494 3.24967503249675 3.08938212357528 3.03107861060329
"o" 3.57891584306679 3.2986970146792 3.58723985270388 2.63042525208242 2.79808910987618 2.74050408235712 3.38407923697726 3.77489779942594 3.73534671170276 3.45977181804712 2.66932491554522 2.20762155059133 2.94001243851416 2.78219998483815 3.67248229400587 3.76980148385803 3.67696819309723 3.75962403759624 3.71925614877025 3.57952468007313
"de" 2.01407607067984 2.55099235801858 2.6397451280566 3.41955282770715 3.95827239933704 3.38658146964856 2.47615553925165 2.62677220144385 2.52334591694814 1.53356052748555 1.91061638145871 2.49014454664915 2.7195115056256 3.1915700098552 2.48574883399551 2.70703829957891 2.50770734641702 2.38976102389761 2.50949810037992 2.09140767824497
"não" 0.411799940101827 1.09956567155973 0.901981877611817 1.77553704515563 1.50141366871405 0.965566205182819 0.522743947175348 0.530573193006871 0.476852771706736 0.526003852422581 0.686714293625741 1.30749014454665 0.955504042517103 0.492760215298309 2.13853860770427 2.37617806296371 2.17873524325137 2.48975102489751 2.05958808238352 2.04753199268739
"é" 0.539083557951482 0.665237231293639 0.504778848938723 1.10697062691802 0.896948425465536 1.20695775647852 0.678650036683786 1.19161520396625 0.824557917742897 0.670469699214698 0.587029960680069 0.992115637319317 0.904619211850512 1.03100598893185 1.89151839695975 1.86484860637658 1.88735995187608 1.98980101989801 1.81963607278544 1.40767824497258
"um" 1.08565438754118 1.28099400736709 0.935082130001241 1.085050416484 1.23817880471873 0.993965211217607 1.19222303741746 2.357136644342 2.08623087621697 1.58171580974959 1.6724815860885 0.860709592641261 0.983773392887431 0.871806534758548 1.1400932803593 1.13294565871265 1.1692608466802 1.20987901209879 1.11977604479104 0.617915904936015
"do" 1.64719976040731 1.52289845511023 1.3571103479664 0.822007891275756 0.984693380130642 0.766773162939297 1.01797505502568 1.49604244585544 1.07291873634015 1.59282856719514 1.03007144043861 0.749014454664915 0.938542432294906 1.06891062087787 1.18327863188806 1.19310206536996 1.12602451312129 1.02989701029897 1.06978604279144 1.02742230347349
"em" 1.95417789757412 1.07207652977074 0.653729984691133 1.15081104778606 1.05293945598128 1.34185303514377 1.51320616287601 0.861094198486562 1.32127955493741 0.877907838198252 0.90269701500803 0.926412614980289 0.712387629332278 1.72087029034948 1.11072724131974 0.98255464206938 1.11850515076322 1.00989901009899 1.0997800439912 0.877513711151737
