Source,Target,Weight,Type
Caeiro_1,Caeiro_2,4,undirected
Caeiro_1,Caeiro_3,5,undirected
Caeiro_1,Campos_1,1,undirected
Caeiro_1,Campos_3,1,undirected
Caeiro_2,Caeiro_1,4,undirected
Caeiro_2,Caeiro_3,6,undirected
Caeiro_2,Campos_3,1,undirected
Caeiro_3,Caeiro_1,5,undirected
Caeiro_3,Caeiro_2,6,undirected
Caeiro_3,Pessoa_2,1,undirected
Campos_1,Caeiro_1,1,undirected
Campos_1,Campos_2,4,undirected
Campos_1,Campos_3,5,undirected
Campos_2,Campos_1,4,undirected
Campos_2,Campos_3,6,undirected
Campos_2,Pessoa_2,1,undirected
Campos_2,Reis_1,2,undirected
Campos_2,Reis_2,2,undirected
Campos_3,Caeiro_1,1,undirected
Campos_3,Caeiro_2,1,undirected
Campos_3,Campos_1,5,undirected
Campos_3,Campos_2,6,undirected
Campos_3,Pessoa_2,1,undirected
Campos_3,Reis_1,1,undirected
Pessoa_1,Pessoa_2,3,undirected
Pessoa_1,Pessoa_3,4,undirected
Pessoa_1,Pessoa_5,2,undirected
Pessoa_2,Caeiro_3,1,undirected
Pessoa_2,Campos_2,1,undirected
Pessoa_2,Campos_3,1,undirected
Pessoa_2,Pessoa_1,3,undirected
Pessoa_2,Pessoa_3,6,undirected
Pessoa_2,Pessoa_4,2,undirected
Pessoa_2,Pessoa_5,5,undirected
Pessoa_2,Pessoa_6,2,undirected
Pessoa_3,Pessoa_1,4,undirected
Pessoa_3,Pessoa_2,6,undirected
Pessoa_3,Pessoa_4,3,undirected
Pessoa_3,Pessoa_5,4,undirected
Pessoa_3,Pessoa_6,3,undirected
Pessoa_4,Pessoa_2,2,undirected
Pessoa_4,Pessoa_3,3,undirected
Pessoa_4,Pessoa_5,1,undirected
Pessoa_5,Pessoa_1,2,undirected
Pessoa_5,Pessoa_2,5,undirected
Pessoa_5,Pessoa_3,4,undirected
Pessoa_5,Pessoa_4,1,undirected
Pessoa_5,Pessoa_6,1,undirected
Pessoa_5,Reis_2,1,undirected
Pessoa_6,Pessoa_2,2,undirected
Pessoa_6,Pessoa_3,3,undirected
Pessoa_6,Pessoa_5,1,undirected
Reis_1,Campos_2,2,undirected
Reis_1,Campos_3,1,undirected
Reis_1,Reis_2,6,undirected
Reis_2,Campos_2,2,undirected
Reis_2,Pessoa_5,1,undirected
Reis_2,Reis_1,6,undirected
