"Arriaga" "Assis_1" "Assis_2" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 3.73959862946647 3.88598481112536 3.8317572892041 3.85593551921121 3.89778808745365 3.94238059135709
"que" 3.5035848917141 2.54955976881111 3.102771645818 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 5.02202643171806 4.68488016569681 4.84633569739953 4.87322951717662 4.90054612869641 4.49113686414672
"e" 3.74011382955133 3.27337546588883 4.07162129016434 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 3.30885952031326 3.5309202090936 3.45744680851064 3.38054620862352 3.37175108221155 3.0001083071591
"o" 3.59228324340306 3.39221087884189 3.63829613277737 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 4.08223201174743 3.73804122694546 3.57565011820331 3.69551608107051 3.62929003269466 3.55608505722228
"de" 1.98832138369429 2.50634689137363 2.6081268906876 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.35927557513461 2.5051780254463 2.55122143420016 2.56475467563972 2.527900052969 2.06505650023467
"não" 0.406534111907754 1.08572354561659 0.895266127054206 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 2.05580029368576 1.94299240556268 2.51182033096927 2.13827373033884 2.17720871614093 2.03978482977725
"é" 0.532190110133787 0.65359477124183 0.502820701496198 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 2.04601076847773 1.51888746424697 1.91095350669819 1.87416855779012 1.86670076165775 1.38994187515795
"um" 1.07177174957499 1.2585750553665 0.923881939334478 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 1.06705824767499 0.976427655587336 1.11308116627266 1.17575710149464 1.15253246634642 0.610130329614788
"do" 1.62613644763101 1.49624588127262 1.34085520398986 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.23348017621145 1.39066969129105 0.955476753349094 1.10924172470459 1.11234908400153 1.01447705693346
"em" 1.92918914923498 1.05331388753849 0.645899762897555 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.16495349975526 1.04546799487129 1.11308116627266 1.07011503247515 1.0794717711739 0.866457272825734
"se" 0.93872422204154 1.08032193593691 1.00972937617529 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.989356918003298 1.29221732745962 1.20327448466318 1.27068557919622 1.19532044760936 1.1927158486913 1.09029206830571
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 1.22920101933743 0.704845814977974 1.06519380609528 0.738770685579196 0.780577509977307 0.781749438345906 0.754539875085743
"os" 1.04959716165275 0.864257548749527 1.35720709672145 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.652076150502174 0.460107684777288 0.503008186211658 0.541765169424744 0.543861021989201 0.531516557380043 1.25275280696054
"me" 0.561756227363442 0.442931993734133 0.302510015534298 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 0.577124868835257 1.37053352912384 1.09478252293126 1.59574468085106 1.31856952813209 1.28038868289832 0.772591068269613
"as" 0.864808928967403 0.956084913304165 0.964761671163437 0.541535795516084 0.701450946478332 0.741310581159522 0.7431575131412 0.76988879384089 0.828298577275385 1.2997949619215 1.25710537822475 0.828197226502311 0.96655500027459 0.846949482836156 0.56779246206559 0.552322714271624 0.423561859732072 0.545817356600673 0.502292279311038 0.855626556915412
"como" 0.606105403207924 0.588775455085615 0.654075709263347 0.444059352323189 0.393965600076871 0.804252045597594 1.09661047670836 0.863986313088109 0.652894172675892 1.01054481546573 0.890905115872322 0.507190549563431 0.604096875171618 0.397241792834657 0.558002936857562 0.611500147943584 0.8274231678487 0.719931137021676 0.745219090759649 0.660673670529622
"no" 0.680020696282061 0.550964187327824 0.71130733382389 1.13722517058378 1.19150571730566 0.433596755017833 0.951604132680805 0.513259195893926 0.487234457220815 0.695664909197422 0.721469173589856 0.667693888032871 0.516228238783019 0.704542047669015 0.646108663729809 0.759443732123484 0.689519306540583 0.716018467798732 0.715994812690643 0.610130329614788
"eu" 0.613496932515337 0.523956138929401 0.17987082004742 0.238275750027077 0.134524839050639 1.17490733617735 0.244698205546493 0.29940119760479 0.302085363476905 0.527240773286467 0.579361609094884 1.19414483821263 0.66450656268878 0.667066406835557 0.841899167890357 0.86793569385541 1.14263199369582 0.860787229047656 0.873075307311549 0.205783602296112
"na" 0.569147756670855 0.318694971101388 0.572316245605429 0.736488681901874 0.912847122129336 0.412616266871809 0.806597788653254 0.530367835757057 0.623660105242643 0.637082601054482 0.475513773502405 0.513610683102208 0.653522983140205 0.809473842002698 0.655898188937836 0.650951770391557 0.591016548463357 0.637765083339854 0.626495461104312 0.722047727354778
"uma" 0.229137408529825 0.545562577648139 0.363829613277737 0.671504386439944 0.643797444028058 0.39862927477446 0.570962479608483 0.778443113772455 0.711362307542389 0.530902167545401 0.562964582422387 0.558551617873652 0.774342358174529 0.292309998500974 0.518844836025453 0.512871091823651 0.738770685579196 0.64363408717427 0.610056804690497 0.205783602296112
"ao" 0.672629166974647 0.648193161562146 0.813506663396288 0.227445034116755 0.413183434226963 0.538499195747954 0.634402755120537 0.898203592814371 0.487234457220815 0.651728178090217 0.508307826847398 0.603492552645095 0.713932670657367 0.569629740668565 0.323054331864905 0.601637242331591 0.384160756501182 0.412786603020581 0.410966410345394 0.476551500054154
"meu" 0.347401877448444 0.232269216226435 0.11037527593819 0.357413625040615 0.249831843951187 0.874187006084342 0.335327170563712 0.171086398631309 0.126680958877412 0.150117164616286 0.344337560122431 0.654853620955316 0.642539403591631 0.891920251836306 0.851688693098385 0.89752441069139 0.630417651694247 0.79427185225761 0.81645326855285 0.176901693201921
"com" 0.480449404981891 0.275482093663912 0.404709345106696 0.368244340950937 0.201787258575959 0.188824393314218 0.398767446075766 0.513259195893926 0.711362307542389 0.41373755125952 0.344337560122431 0.61633281972265 0.593113295623044 0.284814870334283 0.342633382280959 0.660814676003551 0.394011032308905 0.453869629861491 0.429231584138523 0.534315318242536
"mas" 0.14043905684086 0.286285313023281 0.327037854631674 0.888118704646377 0.586143941577784 0.167843905168194 0.679717237629146 0.18819503849444 0.194893782888326 0.263620386643234 0.306077831219939 0.481510015408321 0.532703608105882 0.284814870334283 0.587371512481645 0.581911431107604 0.581166272655634 0.520385006651538 0.540649144276608 0.364634102314163
"mais" 0.317835760218789 0.351104629179495 0.519172594227782 0.509043647785119 0.432401268377054 0.482551227358557 0.453144825086097 0.290846877673225 0.331319430910154 0.457674282366725 0.69960647135986 0.552131484334874 0.565654346751606 0.337280767501124 0.30347528144885 0.335338790807772 0.147754137115839 0.303231864778152 0.297722332827997 0.747319397812195
"por" 0.768719047971025 0.334899800140442 0.22075055187638 0.205783602296112 0.317094263476506 0.38464228267711 0.199383723037883 0.367835757057314 0.399532254921068 0.292911540714704 0.338871884564932 0.507190549563431 0.444834971717283 0.247339229500824 0.450318159569261 0.641088864779564 0.364460204885737 0.491039987479458 0.494986209793786 0.483771977327701
"sem" 0.25870352575948 0.140441851671798 0.130815141852669 0.530705079605762 0.4420101854521 0.209804881460242 0.435019032082654 0.256629597946963 0.380042876632235 0.311218512009373 0.306077831219939 0.276065742167437 0.280081278488659 0.202368460500675 0.636319138521782 0.739717920899497 0.620567375886525 0.618201737225135 0.642934117518128 0.317701000036102
"quem" 0.155222115455688 0.145843461351483 0.159430954132941 0.0541535795516084 0.0384356683001826 0.39862927477446 0.244698205546493 0.307955517536356 0.107191580588579 0.227006444053896 0.311543506777438 0.29532614278377 0.170245483002911 0.269824614000899 0.704845814977974 0.74958082651149 0.689519306540583 0.633852414116911 0.644760634897441 0.505433409148345
"d" 1.30830068741223 0.167449900070221 0.0981113563895021 0 0 0.349674802433737 1.54069240529273 1.12061591103507 0.896511401286299 1.03617457527827 1.05487538259729 0.75115562403698 0.719424460431655 0.284814870334283 0.0489476260401371 0.0197258112239866 0.00985027580772262 0.0234760153376634 0.0237447259310672 0
"para" 0.221745879222411 0.183654729109275 0.183958793230316 0.758150113722517 0.230614009801095 0.25176585775229 0.244698205546493 0.513259195893926 0.60417072695381 0.248974809607499 0.174901617839965 0.365947611710324 0.477785710363007 0.277319742167591 0.313264806656877 0.424104941315712 0.305358550039401 0.403004929963221 0.412792927724707 0.563197227336727
"vida" 0.480449404981891 0.345703019499811 0.298422042351402 0.205783602296112 0.192178341500913 0.38464228267711 0.271886895051659 0.0855431993156544 0.0877022022997466 0.102519039250146 0.158504591167468 0.199024139702106 0.148278323905761 0.374756408334583 0.391581008321096 0.355064602031759 0.41371158392435 0.418655606854996 0.442017205793713 0.938662045561212
"dos" 0.561756227363442 0.388915896937287 0.445589076935655 0.227445034116755 0.393965600076871 0.356668298482411 0.32626427406199 0.248075278015398 0.34106412005457 0.80916813122437 0.60122431132488 0.423728813559322 0.362458125102971 0.254834357667516 0.117474302496329 0.177532301015879 0.157604412923562 0.181939118866891 0.178998703172661 0.45489006823351
"ou" 0.155222115455688 0.151245071031167 0.339301774180361 0.25993718184772 0.259440761026232 0.0909154486327715 0.398767446075766 0.265183917878529 0.272851296043656 0.241652021089631 0.185832968954963 0.13482280431433 0.049426107968587 0.0974366661669915 0.577581987273617 0.562185619883618 0.571315996847912 0.516472337428594 0.529690040000731 0.566807465973501
"te" 0.391751053292926 0.432128774374764 0.286158122802714 0.38990577277158 0.701450946478332 0.622421148332051 0.262823998549937 0.265183917878529 0.175404404599493 0.380785002929115 0.327940533449934 0.622752953261428 0.302048437585809 0.254834357667516 0.215369554576603 0.108491961731926 0.334909377462569 0.273886845606072 0.272151089517617 0.422397920502545
"ser" 0.118264468918619 0.140441851671798 0.0694955441092306 0.0541535795516084 0.0864802536754108 0.342681306385062 0.0815660685154976 0.0513259195893926 0.0779575131553304 0.175746924428823 0.114779186707477 0.109142270159219 0.104344005711461 0.0824464098336082 0.822320117474302 0.680540487227537 0.679669030732861 0.698411456295485 0.708688743173391 0.241885988663851
"alma" 0.532190110133787 0.448333603413817 0.204398659144796 0.0108307159103217 0.0288267512251369 0.447583747115183 0.299075584556824 0.239520958083832 0.0779575131553304 0.157439953134153 0.191298644512462 0.147663071391885 0.19221264210006 0.262329485834208 0.518844836025453 0.532596903047638 0.472813238770686 0.537992018154785 0.515077900966228 0.158850500018051
"nem" 0.0591322344593096 0.264678874304543 0.286158122802714 0.335752193219972 0.230614009801095 0.139869920973495 0.299075584556824 0.128314798973482 0.155915026310661 0.172085530169889 0.224092697857455 0.173343605546995 0.0659014772914493 0.104931794333683 0.420949583945179 0.424104941315712 0.669818754925138 0.491039987479458 0.509598348828289 0.599299613704466
"só" 0.103481410303792 0.151245071031167 0.151255007767149 0.173291454565147 0.144133756125685 0.230785369606266 0.3715787565706 0.111206159110351 0.126680958877412 0.194053895723491 0.196764320069961 0.346687211093991 0.137294744357186 0.142407435167141 0.469897209985316 0.473419469375678 0.522064617809299 0.508646998982706 0.507771831448976 0.47294126141738
"minha" 0.273486584374307 0.23767082590612 0.0899354100237102 0.249106465937398 0.163351590275776 0.573466675991328 0.199383723037883 0.0684345594525235 0.116936269732996 0.109841827768014 0.191298644512462 0.507190549563431 0.356966335328684 0.54714435616849 0.332843857072932 0.503008186211658 0.354609929078014 0.440175287581188 0.4401906884144 0.111917397739991
"tudo" 0.155222115455688 0.194457948468644 0.134903115035565 0.162460738654825 0.4420101854521 0.216798377508917 0.244698205546493 0.153977758768178 0.204638472032742 0.194053895723491 0.120244862264976 0.179763739085773 0.164753693228623 0.217358716834058 0.489476260401371 0.512871091823651 0.462962962962963 0.467563972141795 0.467588449104093 0.393516011408354
"nos" 0.384359523985513 0.23767082590612 0.228926498242172 0.346582909130293 0.259440761026232 0.314707322190363 0.217509516041327 0.248075278015398 0.311830052621321 0.369800820152314 0.360734586794928 0.16050333846944 0.197704431874348 0.397241792834657 0.176211453744493 0.167669395403886 0.0689519306540583 0.179982784255419 0.189957807448538 1.02891801148056
"das" 0.450883287752236 0.248474045265489 0.298422042351402 0.25993718184772 0.182569424425867 0.174837401216868 0.226572412543049 0.28229255774166 0.253361917754824 0.600468658465144 0.573895933537385 0.276065742167437 0.362458125102971 0.367261280167891 0.146842878120411 0.266298451523819 0.157604412923562 0.191720791924251 0.186304772689912 0.299649806852233
"nada" 0.0221745879222411 0.0918273645546373 0.0817594636579184 0.12996859092386 0.0960891707504564 0.167843905168194 0.0996918615189415 0.0342172797262618 0.0974468914441629 0.0878734622144113 0.0983821600349803 0.115562403697997 0.0988522159371739 0.0374756408334583 0.558002936857562 0.473419469375678 0.492513790386131 0.504734329759762 0.544302179035233 0.675114625076718
"mim" 0.170005174070515 0.102630583914006 0.0245278390973755 0.173291454565147 0.240222926876141 0.440590251066508 0.117817654522385 0.0342172797262618 0.00974468914441629 0.0988576449912126 0.174901617839965 0.250385208012327 0.131802954582899 0.382251536501274 0.56779246206559 0.690403392839531 0.541765169424744 0.475389310587683 0.467588449104093 0.166070977291599
"onde" 0.391751053292926 0.11883541295306 0.151255007767149 0.238275750027077 0.182569424425867 0.237778865654941 0.28094979155338 0.153977758768178 0.155915026310661 0.120826010544815 0.125710537822475 0.154083204930663 0.291064858037234 0.217358716834058 0.469897209985316 0.424104941315712 0.295508274231678 0.401048595351749 0.405486858207456 0.216614318206433
"já" 0.073915293074137 0.280883703343596 0.212574605510588 0.32492147730965 0.288267512251369 0.202811385411567 0.145006344027551 0.171086398631309 0.214383161177158 0.219683655536028 0.213161346742457 0.365947611710324 0.252622329617222 0.307300254834358 0.323054331864905 0.295887168359799 0.285657998423956 0.318882541669927 0.305028402345248 0.173291454565147
"á" 0.694803754896888 0.518554529249716 0.576404218788325 0 0.0288267512251369 0 0.444081928584376 0.48759623609923 0.380042876632235 0.582161687170475 0.404459991254919 0.558551617873652 0.604096875171618 0.427222305501424 0 0 0 0.00195633461147195 0.00182651737931286 0
"ó" 0.0073915293074137 0.162048290390536 0.0572316245605429 0.0433228636412867 0.0672624195253195 0.286733337995664 0 0.29940119760479 0.253361917754824 0.633421206795548 0.606689986882379 0.654853620955316 1.04344005711461 0.442212561834807 0.0587371512481645 0.069040339283953 0.0985027580772262 0.103685734408013 0.120550147034649 0.0541535795516084
"sou" 0.0443491758444822 0.0864257548749527 0.0245278390973755 0.0974764431928951 0.163351590275776 0.419609762920484 0.0181257930034439 0.0342172797262618 0.0389787565776652 0.150117164616286 0.060122431132488 0.141242937853107 0.0384425284200121 0.367261280167891 0.440528634361233 0.522733997435645 0.492513790386131 0.467563972141795 0.482200588138596 0.0685945340987039
"sei" 0.125655998226033 0.113433803273375 0.0204398659144796 0.140799306834182 0.0864802536754108 0.26575284984964 0.0634402755120537 0.0342172797262618 0.0292340674332489 0.0659050966608084 0.131176213379974 0.13482280431433 0.126311164808611 0.0974366661669915 0.450318159569261 0.345201696419765 0.699369582348306 0.469520306753267 0.476721036000658 0.151630022744503
"noite" 0.177396703377929 0.226867606546751 0.196222712779004 0.314090761399329 0.249831843951187 0.356668298482411 0.217509516041327 0.222412318220701 0.175404404599493 0.0146455770357352 0.0327940533449934 0.179763739085773 0.23614696029436 0.562134612501874 0.323054331864905 0.404379130091725 0.344759653270292 0.295406526332264 0.301375367586623 0.111917397739991
"quando" 0.34001034814103 0.286285313023281 0.2003106859619 0.0433228636412867 0.0384356683001826 0.216798377508917 0.181257930034439 0.145423438836612 0.146170337166244 0.227006444053896 0.284215128989943 0.340267077555213 0.400900653522983 0.164892819667216 0.22515907978463 0.256435545911826 0.305358550039401 0.238672822599577 0.231967707172734 0.252716704574172
