"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.30878999152929 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 3.85736941730189 3.57248886689758 3.87533623968092 3.82756239518595 4.10337344643914
"que" 3.5035848917141 2.54955976881111 3.102771645818 3.48081058187268 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 4.89589195272932 4.90846115784265 4.87338836842593 5.19877675840979 5.06016965870981
"e" 3.74011382955133 3.27337546588883 4.07162129016434 3.18368410764319 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 3.41740420524889 3.30529440870856 3.38929598367498 3.20607674854493 3.0479384493983
"o" 3.59228324340306 3.39221087884189 3.63829613277737 2.84224929953737 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 3.68001909926502 3.80999505195448 3.68054911418236 3.77823813751603 3.71868218583547
"de" 1.98832138369429 2.50634689137363 2.6081268906876 3.59418778914446 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.51871557442745 2.75111331024245 2.54336332436694 2.4070237742922 2.54488064707043
"não" 0.406534111907754 1.08572354561659 0.895266127054206 1.50387697921418 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 2.11967735884449 2.35526966848095 2.16120953529357 2.45634803196212 2.03195896626554
"é" 0.532190110133787 0.65359477124183 0.502820701496198 0.973480158988727 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 1.87070479698504 1.84067293419099 1.86439105834338 1.9631054552629 1.79522588281712
"um" 1.07177174957499 1.2585750553665 0.923881939334478 0.936990942855281 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 1.12719769444587 1.11825828797625 1.1557369446248 1.19364703561211 1.11461826790294
"do" 1.62613644763101 1.49624588127262 1.34085520398986 1.07512868964618 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.16812469091591 1.17763483424047 1.11121417308227 1.01607970800039 1.05543499704084
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.900501726721835 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.09650244709333 0.969816922315685 1.10379371115852 0.996350004932426 1.08502663247189
"se" 0.93872422204154 1.08032193593691 1.00972937617529 0.922655893659999 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.989356918003298 1.14766119268089 1.26669965363681 1.24107225674798 1.35148466015586 1.17380153876504
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.935687756564801 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 1.22920101933743 0.827066386998857 0.672934190994557 0.786568963918004 0.710269310446878 0.818701913592425
"os" 1.04959716165275 0.864257548749527 1.35720709672145 1.09988922916531 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.652076150502174 0.542282703228117 0.484908461157843 0.524997681105649 0.51297227976719 0.483330045373841
"me" 0.561756227363442 0.442931993734133 0.302510015534298 1.16895810256076 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 0.577124868835257 1.32501151071776 1.12815437902029 1.30600129858084 1.40080891782579 1.23298480962715
