"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.68498383779019 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 4.38180019782394 3.85791810557474 3.6685580121307 3.54791154791155
"e" 3.74011382955133 3.27337546588883 4.07162129016434 4.35498089920658 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 3.17507418397626 3.48297977306364 3.36529054979456 3.27272727272727
"que" 3.5035848917141 2.54955976881111 3.102771645818 4.56068175139583 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 5.05440158259149 4.91366551554021 5.06750146742321 5.08108108108108
"o" 3.59228324340306 3.39221087884189 3.63829613277737 3.37937114310902 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 3.63006923837784 4.2920572274297 3.47290158481706 3.64619164619165
"de" 1.98832138369429 2.50634689137363 2.6081268906876 2.39200705260065 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.23541048466865 2.48643315244203 2.59244766190569 2.77149877149877
"um" 1.07177174957499 1.2585750553665 0.923881939334478 0.981486923302968 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 0.919881305637982 1.19388258510113 1.11524163568773 1.31695331695332
"do" 1.62613644763101 1.49624588127262 1.34085520398986 0.893329415221863 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.13748763600396 1.03601381351751 1.43807474075523 0.914004914004914
"não" 0.406534111907754 1.08572354561659 0.895266127054206 2.4390243902439 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 2.20573689416419 2.12136161815491 2.01526120133046 2.31941031941032
"é" 0.532190110133787 0.65359477124183 0.502820701496198 2.30972671172495 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 1.75074183976261 1.90429205722743 2.06417530815887 1.86732186732187
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.593593887746106 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.03857566765579 1.04588061174149 0.958716493836823 1.14987714987715
"os" 1.04959716165275 0.864257548749527 1.35720709672145 0.946223920070526 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.652076150502174 0.356083086053412 0.48347311297484 0.616317746037957 0.609336609336609
"se" 0.93872422204154 1.08032193593691 1.00972937617529 1.38113429327064 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.989356918003298 1.18694362017804 1.35175135668476 1.16415574251614 1.21867321867322
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.887452248016456 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 1.22920101933743 0.979228486646884 0.720276270350271 0.929368029739777 0.530712530712531
"as" 0.864808928967403 0.956084913304165 0.964761671163437 1.11078460182192 0.541535795516084 0.701450946478332 0.741310581159522 0.7431575131412 0.76988879384089 0.828298577275385 1.2997949619215 1.25710537822475 0.828197226502311 0.96655500027459 0.846949482836156 0.405539070227498 0.453872718302911 0.459792604187048 0.697788697788698
"como" 0.606105403207924 0.588775455085615 0.654075709263347 1.06964443138407 0.444059352323189 0.393965600076871 0.804252045597594 1.09661047670836 0.863986313088109 0.652894172675892 1.01054481546573 0.890905115872322 0.507190549563431 0.604096875171618 0.397241792834657 0.751730959446093 0.680809077454366 0.743494423791822 0.805896805896806
"me" 0.561756227363442 0.442931993734133 0.302510015534298 1.18131060828681 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 0.577124868835257 1.32542037586548 1.4602861371485 1.1348072784191 1.31695331695332
"no" 0.680020696282061 0.550964187327824 0.71130733382389 0.611225389362327 1.13722517058378 1.19150571730566 0.433596755017833 0.951604132680805 0.513259195893926 0.487234457220815 0.695664909197422 0.721469173589856 0.667693888032871 0.516228238783019 0.704542047669015 0.731948565776459 0.720276270350271 0.596752103306594 0.766584766584767
"eu" 0.613496932515337 0.523956138929401 0.17987082004742 0.981486923302968 0.238275750027077 0.134524839050639 1.17490733617735 0.244698205546493 0.29940119760479 0.302085363476905 0.527240773286467 0.579361609094884 1.19414483821263 0.66450656268878 0.667066406835557 1.02868447082097 0.848544647261964 0.811974173351595 0.825552825552825
