"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.30878999152929 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 4.05231348459328 3.8001958863859 3.7808423142371 4.20823866442754 3.86194419316679
"que" 3.5035848917141 2.54955976881111 3.102771645818 3.48081058187268 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 4.71613989893986 4.79921645445642 4.88336642087351 4.95900424775264 4.95616171456405
"e" 3.74011382955133 3.27337546588883 4.07162129016434 3.18368410764319 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 3.31913207173288 3.8001958863859 3.36783891094725 3.06233330040502 3.36093521675597
"o" 3.59228324340306 3.39221087884189 3.63829613277737 2.84224929953737 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 3.71544634895472 3.32027424094025 3.72943845717527 3.5562580262768 3.75756732308121
"de" 1.98832138369429 2.50634689137363 2.6081268906876 3.59418778914446 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.41751709105321 2.70323212536729 2.56664775950085 2.34120320063222 2.53113909957553
"não" 0.406534111907754 1.08572354561659 0.895266127054206 1.50387697921418 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 1.92212424452591 2.21351616062684 2.16959727736812 2.43010965128914 2.14494468025885
"é" 0.532190110133787 0.65359477124183 0.502820701496198 0.973480158988727 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 1.85276924601209 1.77277179236043 1.92853091321611 1.79788600217327 1.85442905852063
"um" 1.07177174957499 1.2585750553665 0.923881939334478 0.936990942855281 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 1.17903497473496 1.13614103819785 1.13974758933636 1.0273634298133 1.15510402894719
"do" 1.62613644763101 1.49624588127262 1.34085520398986 1.07512868964618 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.12949569008224 1.16552399608227 1.10429665343165 1.1952978366097 1.12727019692436
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.900501726721835 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.07995640542951 0.969637610186092 1.07416335791265 1.18541934209227 1.08899867789298
"se" 0.93872422204154 1.08032193593691 1.00972937617529 0.922655893659999 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.989356918003298 1.19885068859606 1.26346718903036 1.18760635280771 1.10639138595278 1.2351262960128
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.935687756564801 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 1.22920101933743 0.861983552957495 0.803134182174339 0.76574021554169 0.879186012051763 0.798483056154756
"me" 0.561756227363442 0.442931993734133 0.302510015534298 1.16895810256076 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 0.577124868835257 1.3375606856237 1.27326150832517 1.30813953488372 1.3632322434061 1.30992971957414
"os" 1.04959716165275 0.864257548749527 1.35720709672145 1.09988922916531 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.652076150502174 0.653918557416031 0.568070519098923 0.547716959727737 0.405018275214857 0.506227819915107
"as" 0.864808928967403 0.956084913304165 0.964761671163437 0.914836775917117 0.541535795516084 0.701450946478332 0.741310581159522 0.7431575131412 0.76988879384089 0.828298577275385 1.2997949619215 1.25710537822475 0.828197226502311 0.96655500027459 0.846949482836156 0.48548498959675 0.401567091087169 0.572532614861032 0.395139780697422 0.487092060399415
